PassengerId,Pclass,Age,SibSp,Parch,Fare,female,Embarked_S,Embarked_C,Embarked_Q,Title_Mr,Title_Mrs,Title_Miss,Title_Master,title_Other
1,3,22.0,1,0,7.25,0,1,0,0,1,0,0,0,0
2,1,38.0,1,0,71.2833,1,0,1,0,0,1,0,0,0
3,3,26.0,0,0,7.925,1,1,0,0,0,0,1,0,0
4,1,35.0,1,0,53.1,1,1,0,0,0,1,0,0,0
5,3,35.0,0,0,8.05,0,1,0,0,1,0,0,0,0
6,3,28.0,0,0,8.4583,0,0,0,1,1,0,0,0,0
7,1,54.0,0,0,51.8625,0,1,0,0,1,0,0,0,0
8,3,2.0,3,1,21.075,0,1,0,0,0,0,0,1,0
9,3,27.0,0,2,11.1333,1,1,0,0,0,1,0,0,0
10,2,14.0,1,0,30.0708,1,0,1,0,0,1,0,0,0
11,3,4.0,1,1,16.7,1,1,0,0,0,0,1,0,0
12,1,58.0,0,0,26.55,1,1,0,0,0,0,1,0,0
13,3,20.0,0,0,8.05,0,1,0,0,1,0,0,0,0
14,3,39.0,1,5,31.275,0,1,0,0,1,0,0,0,0
15,3,14.0,0,0,7.8542,1,1,0,0,0,0,1,0,0
16,2,55.0,0,0,16.0,1,1,0,0,0,1,0,0,0
17,3,2.0,4,1,29.125,0,0,0,1,0,0,0,1,0
18,2,28.0,0,0,13.0,0,1,0,0,1,0,0,0,0
19,3,31.0,1,0,18.0,1,1,0,0,0,1,0,0,0
20,3,28.0,0,0,7.225,1,0,1,0,0,1,0,0,0
21,2,35.0,0,0,26.0,0,1,0,0,1,0,0,0,0
22,2,34.0,0,0,13.0,0,1,0,0,1,0,0,0,0
23,3,15.0,0,0,8.0292,1,0,0,1,0,0,1,0,0
24,1,28.0,0,0,35.5,0,1,0,0,1,0,0,0,0
25,3,8.0,3,1,21.075,1,1,0,0,0,0,1,0,0
26,3,38.0,1,5,31.3875,1,1,0,0,0,1,0,0,0
27,3,28.0,0,0,7.225,0,0,1,0,1,0,0,0,0
28,1,19.0,3,2,263.0,0,1,0,0,1,0,0,0,0
29,3,28.0,0,0,7.8792,1,0,0,1,0,0,1,0,0
30,3,28.0,0,0,7.8958,0,1,0,0,1,0,0,0,0
31,1,40.0,0,0,27.7208,0,0,1,0,0,0,0,0,1
32,1,28.0,1,0,146.5208,1,0,1,0,0,1,0,0,0
33,3,28.0,0,0,7.75,1,0,0,1,0,0,1,0,0
34,2,66.0,0,0,10.5,0,1,0,0,1,0,0,0,0
35,1,28.0,1,0,82.1708,0,0,1,0,1,0,0,0,0
36,1,42.0,1,0,52.0,0,1,0,0,1,0,0,0,0
37,3,28.0,0,0,7.2292,0,0,1,0,1,0,0,0,0
38,3,21.0,0,0,8.05,0,1,0,0,1,0,0,0,0
39,3,18.0,2,0,18.0,1,1,0,0,0,0,1,0,0
40,3,14.0,1,0,11.2417,1,0,1,0,0,0,1,0,0
41,3,40.0,1,0,9.475,1,1,0,0,0,1,0,0,0
42,2,27.0,1,0,21.0,1,1,0,0,0,1,0,0,0
43,3,28.0,0,0,7.8958,0,0,1,0,1,0,0,0,0
44,2,3.0,1,2,41.5792,1,0,1,0,0,0,1,0,0
45,3,19.0,0,0,7.8792,1,0,0,1,0,0,1,0,0
46,3,28.0,0,0,8.05,0,1,0,0,1,0,0,0,0
47,3,28.0,1,0,15.5,0,0,0,1,1,0,0,0,0
48,3,28.0,0,0,7.75,1,0,0,1,0,0,1,0,0
49,3,28.0,2,0,21.6792,0,0,1,0,1,0,0,0,0
50,3,18.0,1,0,17.8,1,1,0,0,0,1,0,0,0
51,3,7.0,4,1,39.6875,0,1,0,0,0,0,0,1,0
52,3,21.0,0,0,7.8,0,1,0,0,1,0,0,0,0
53,1,49.0,1,0,76.7292,1,0,1,0,0,1,0,0,0
54,2,29.0,1,0,26.0,1,1,0,0,0,1,0,0,0
55,1,65.0,0,1,61.9792,0,0,1,0,1,0,0,0,0
56,1,28.0,0,0,35.5,0,1,0,0,1,0,0,0,0
57,2,21.0,0,0,10.5,1,1,0,0,0,0,1,0,0
58,3,28.5,0,0,7.2292,0,0,1,0,1,0,0,0,0
59,2,5.0,1,2,27.75,1,1,0,0,0,0,1,0,0
60,3,11.0,5,2,46.9,0,1,0,0,0,0,0,1,0
61,3,22.0,0,0,7.2292,0,0,1,0,1,0,0,0,0
62,1,38.0,0,0,80.0,1,1,0,0,0,0,1,0,0
63,1,45.0,1,0,83.475,0,1,0,0,1,0,0,0,0
64,3,4.0,3,2,27.9,0,1,0,0,0,0,0,1,0
65,1,28.0,0,0,27.7208,0,0,1,0,1,0,0,0,0
66,3,28.0,1,1,15.2458,0,0,1,0,0,0,0,1,0
67,2,29.0,0,0,10.5,1,1,0,0,0,1,0,0,0
68,3,19.0,0,0,8.1583,0,1,0,0,1,0,0,0,0
69,3,17.0,4,2,7.925,1,1,0,0,0,0,1,0,0
70,3,26.0,2,0,8.6625,0,1,0,0,1,0,0,0,0
71,2,32.0,0,0,10.5,0,1,0,0,1,0,0,0,0
72,3,16.0,5,2,46.9,1,1,0,0,0,0,1,0,0
73,2,21.0,0,0,73.5,0,1,0,0,1,0,0,0,0
74,3,26.0,1,0,14.4542,0,0,1,0,1,0,0,0,0
75,3,32.0,0,0,56.4958,0,1,0,0,1,0,0,0,0
76,3,25.0,0,0,7.65,0,1,0,0,1,0,0,0,0
77,3,28.0,0,0,7.8958,0,1,0,0,1,0,0,0,0
78,3,28.0,0,0,8.05,0,1,0,0,1,0,0,0,0
79,2,0.83,0,2,29.0,0,1,0,0,0,0,0,1,0
80,3,30.0,0,0,12.475,1,1,0,0,0,0,1,0,0
81,3,22.0,0,0,9.0,0,1,0,0,1,0,0,0,0
82,3,29.0,0,0,9.5,0,1,0,0,1,0,0,0,0
83,3,28.0,0,0,7.7875,1,0,0,1,0,0,1,0,0
84,1,28.0,0,0,47.1,0,1,0,0,1,0,0,0,0
85,2,17.0,0,0,10.5,1,1,0,0,0,0,1,0,0
86,3,33.0,3,0,15.85,1,1,0,0,0,1,0,0,0
87,3,16.0,1,3,34.375,0,1,0,0,1,0,0,0,0
88,3,28.0,0,0,8.05,0,1,0,0,1,0,0,0,0
89,1,23.0,3,2,263.0,1,1,0,0,0,0,1,0,0
90,3,24.0,0,0,8.05,0,1,0,0,1,0,0,0,0
91,3,29.0,0,0,8.05,0,1,0,0,1,0,0,0,0
92,3,20.0,0,0,7.8542,0,1,0,0,1,0,0,0,0
93,1,46.0,1,0,61.175,0,1,0,0,1,0,0,0,0
94,3,26.0,1,2,20.575,0,1,0,0,1,0,0,0,0
95,3,59.0,0,0,7.25,0,1,0,0,1,0,0,0,0
96,3,28.0,0,0,8.05,0,1,0,0,1,0,0,0,0
97,1,71.0,0,0,34.6542,0,0,1,0,1,0,0,0,0
98,1,23.0,0,1,63.3583,0,0,1,0,1,0,0,0,0
99,2,34.0,0,1,23.0,1,1,0,0,0,1,0,0,0
100,2,34.0,1,0,26.0,0,1,0,0,1,0,0,0,0
101,3,28.0,0,0,7.8958,1,1,0,0,0,0,1,0,0
102,3,28.0,0,0,7.8958,0,1,0,0,1,0,0,0,0
103,1,21.0,0,1,77.2875,0,1,0,0,1,0,0,0,0
104,3,33.0,0,0,8.6542,0,1,0,0,1,0,0,0,0
105,3,37.0,2,0,7.925,0,1,0,0,1,0,0,0,0
106,3,28.0,0,0,7.8958,0,1,0,0,1,0,0,0,0
107,3,21.0,0,0,7.65,1,1,0,0,0,0,1,0,0
108,3,28.0,0,0,7.775,0,1,0,0,1,0,0,0,0
109,3,38.0,0,0,7.8958,0,1,0,0,1,0,0,0,0
110,3,28.0,1,0,24.15,1,0,0,1,0,0,1,0,0
111,1,47.0,0,0,52.0,0,1,0,0,1,0,0,0,0
112,3,14.5,1,0,14.4542,1,0,1,0,0,0,1,0,0
113,3,22.0,0,0,8.05,0,1,0,0,1,0,0,0,0
114,3,20.0,1,0,9.825,1,1,0,0,0,0,1,0,0
115,3,17.0,0,0,14.4583,1,0,1,0,0,0,1,0,0
116,3,21.0,0,0,7.925,0,1,0,0,1,0,0,0,0
